# M-4 fuzz-corpus check — FREEZE pin + benchctl (Rust) loader verdicts
corpus:   crates/bench-core/tests/fixtures/golden_fuzz
manifest: crates/bench-core/tests/fixtures/golden_fuzz/manifest.json
benchctl: target/debug/benchctl
fixtures: 183

FIXTURE                                  EXPECT   BENCHCTL FREEZE    SWIFT
valid.json                               ACCEPT   ACCEPT   OK        agree
valid_with_behavior.json                 ACCEPT   ACCEPT   OK        agree
valid_cases_only.json                    REJECT   REJECT   OK        agree
valid_anchor_optional_null.json          ACCEPT   ACCEPT   OK        agree
valid_extra_expected_tokens.json         ACCEPT   ACCEPT   OK        agree
model_type_missing.json                  REJECT   REJECT   OK        agree
model_type_wrong_00.json                 REJECT   REJECT   OK        agree
model_type_wrong_01.json                 REJECT   REJECT   OK        agree
model_type_wrong_02.json                 REJECT   REJECT   OK        agree
model_type_wrong_03.json                 REJECT   REJECT   OK        agree
model_type_wrong_04.json                 REJECT   REJECT   OK        agree
model_type_wrong_05.json                 REJECT   REJECT   OK        agree
model_type_wrong_06.json                 REJECT   REJECT   OK        agree
model_type_wrong_07.json                 REJECT   REJECT   OK        agree
model_type_wrong_08.json                 REJECT   REJECT   OK        agree
model_type_empty.json                    REJECT   REJECT   OK        agree
model_type_leading_ws.json               REJECT   REJECT   OK        agree
model_type_trailing_ws.json              REJECT   REJECT   OK        agree
model_type_null.json                     REJECT   REJECT   OK        agree
model_type_number.json                   REJECT   REJECT   OK        agree
model_type_bool.json                     REJECT   REJECT   OK        agree
model_type_array.json                    REJECT   REJECT   OK        agree
model_type_object.json                   REJECT   REJECT   OK        agree
version_wrong_00.json                    REJECT   REJECT   OK        agree
version_wrong_01.json                    REJECT   REJECT   OK        agree
version_wrong_02.json                    REJECT   REJECT   OK        agree
version_wrong_03.json                    REJECT   REJECT   OK        agree
version_wrong_04.json                    REJECT   REJECT   OK        agree
version_missing.json                     REJECT   REJECT   OK        agree
version_string.json                      REJECT   REJECT   OK        agree
version_float.json                       REJECT   REJECT   OK        agree
version_bool.json                        REJECT   REJECT   OK        agree
version_null.json                        REJECT   REJECT   OK        agree
version_array.json                       REJECT   REJECT   OK        agree
unknown_top_key_00.json                  REJECT   REJECT   OK        agree
unknown_top_key_01.json                  REJECT   REJECT   OK        agree
unknown_top_key_02.json                  REJECT   REJECT   OK        agree
unknown_top_key_03.json                  REJECT   REJECT   OK        agree
unknown_top_key_04.json                  REJECT   REJECT   OK        agree
unknown_top_key_05.json                  REJECT   REJECT   OK        agree
cases_missing.json                       REJECT   REJECT   OK        agree
cases_null.json                          REJECT   REJECT   OK        agree
cases_empty.json                         REJECT   REJECT   OK        agree
cases_object.json                        REJECT   REJECT   OK        agree
cases_number.json                        REJECT   REJECT   OK        agree
cases_string.json                        REJECT   REJECT   OK        agree
case_missing_name.json                   REJECT   REJECT   OK        agree
case_missing_prompt.json                 REJECT   REJECT   OK        agree
case_missing_expected.json               REJECT   REJECT   OK        agree
case_name_empty.json                     REJECT   REJECT   OK        agree
case_name_leading_ws.json                REJECT   REJECT   OK        agree
case_name_trailing_ws.json               REJECT   REJECT   OK        agree
case_name_control.json                   REJECT   REJECT   OK        agree
case_name_number.json                    REJECT   REJECT   OK        agree
case_name_null.json                      REJECT   REJECT   OK        agree
case_prompt_count_00.json                REJECT   REJECT   OK        agree
case_prompt_count_01.json                REJECT   REJECT   OK        agree
case_prompt_count_02.json                REJECT   REJECT   OK        agree
case_prompt_count_03.json                REJECT   REJECT   OK        agree
case_prompt_count_04.json                REJECT   REJECT   OK        agree
case_expected_count_00.json              REJECT   REJECT   OK        agree
case_expected_count_01.json              REJECT   REJECT   OK        agree
case_expected_count_02.json              REJECT   REJECT   OK        agree
case_expected_count_03.json              REJECT   REJECT   OK        agree
case_token_oob_00.json                   REJECT   REJECT   OK        agree
case_token_oob_01.json                   REJECT   REJECT   OK        agree
case_token_oob_02.json                   REJECT   REJECT   OK        agree
case_token_oob_03.json                   REJECT   REJECT   OK        agree
case_token_oob_04.json                   REJECT   REJECT   OK        agree
case_token_oob_05.json                   REJECT   REJECT   OK        agree
case_token_oob_06.json                   REJECT   REJECT   OK        agree
case_prompt_string_elem.json             REJECT   REJECT   OK        agree
case_prompt_float_elem.json              REJECT   REJECT   OK        agree
case_prompt_null_elem.json               REJECT   REJECT   OK        agree
case_prompt_not_array.json               REJECT   REJECT   OK        agree
case_expected_nested_array.json          REJECT   REJECT   OK        agree
case_not_object.json                     REJECT   REJECT   OK        agree
case_duplicate_name.json                 REJECT   REJECT   OK        agree
case_unknown_key_00.json                 REJECT   REJECT   OK        DECLARED-DIV
case_unknown_key_01.json                 REJECT   REJECT   OK        DECLARED-DIV
case_unknown_key_02.json                 REJECT   REJECT   OK        DECLARED-DIV
case_unknown_key_03.json                 REJECT   REJECT   OK        DECLARED-DIV
case_unknown_key_04.json                 REJECT   REJECT   OK        DECLARED-DIV
gates_null.json                          REJECT   REJECT   OK        agree
gates_empty_object.json                  REJECT   REJECT   OK        agree
gates_number.json                        REJECT   REJECT   OK        agree
gates_array.json                         REJECT   REJECT   OK        agree
gates_anchors_empty.json                 REJECT   REJECT   OK        agree
gates_free_run_empty.json                REJECT   REJECT   OK        agree
gates_anchors_null.json                  REJECT   REJECT   OK        agree
gates_free_run_null.json                 REJECT   REJECT   OK        agree
gates_anchors_object.json                REJECT   REJECT   OK        agree
gates_unknown_section_00.json            REJECT   REJECT   OK        agree
gates_unknown_section_01.json            REJECT   REJECT   OK        agree
gates_unknown_section_02.json            REJECT   REJECT   OK        agree
anchor_missing_name.json                 REJECT   REJECT   OK        agree
anchor_missing_context.json              REJECT   REJECT   OK        agree
anchor_missing_expected.json             REJECT   REJECT   OK        agree
anchor_context_empty.json                REJECT   REJECT   OK        agree
anchor_context_too_long.json             REJECT   REJECT   OK        agree
anchor_expected_oob.json                 REJECT   REJECT   OK        agree
anchor_expected_negative.json            REJECT   REJECT   OK        agree
anchor_accepted_empty.json               REJECT   REJECT   OK        agree
anchor_accepted_oob.json                 REJECT   REJECT   OK        agree
anchor_rank_bad_00.json                  REJECT   REJECT   OK        agree
anchor_rank_bad_01.json                  REJECT   REJECT   OK        agree
anchor_rank_bad_02.json                  REJECT   REJECT   OK        agree
anchor_rank_negative.json                REJECT   REJECT   OK        agree
anchor_delta_negative.json               REJECT   REJECT   OK        agree
anchor_delta_without_rank.json           REJECT   REJECT   OK        agree
anchor_context_string_elem.json          REJECT   REJECT   OK        agree
anchor_expected_string.json              REJECT   REJECT   OK        agree
anchor_not_object.json                   REJECT   REJECT   OK        agree
anchor_unknown_key_00.json               REJECT   REJECT   OK        DECLARED-DIV
anchor_unknown_key_01.json               REJECT   REJECT   OK        DECLARED-DIV
anchor_unknown_key_02.json               REJECT   REJECT   OK        DECLARED-DIV
anchor_unknown_key_03.json               REJECT   REJECT   OK        DECLARED-DIV
free_run_missing_name.json               REJECT   REJECT   OK        agree
free_run_missing_prompt.json             REJECT   REJECT   OK        agree
free_run_missing_expected.json           REJECT   REJECT   OK        agree
free_run_prompt_count_00.json            REJECT   REJECT   OK        agree
free_run_prompt_count_01.json            REJECT   REJECT   OK        agree
free_run_prompt_count_02.json            REJECT   REJECT   OK        agree
free_run_expected_empty.json             REJECT   REJECT   OK        agree
free_run_expected_too_long.json          REJECT   REJECT   OK        agree
free_run_expected_oob.json               REJECT   REJECT   OK        agree
free_run_prefix_bad_00.json              REJECT   REJECT   OK        agree
free_run_prefix_bad_01.json              REJECT   REJECT   OK        agree
free_run_prefix_negative.json            REJECT   REJECT   OK        agree
free_run_unknown_key_00.json             REJECT   REJECT   OK        DECLARED-DIV
free_run_unknown_key_01.json             REJECT   REJECT   OK        DECLARED-DIV
free_run_unknown_key_02.json             REJECT   REJECT   OK        DECLARED-DIV
behavior_missing_name.json               REJECT   REJECT   OK        agree
behavior_missing_prompt.json             REJECT   REJECT   OK        agree
behavior_missing_sequences.json          REJECT   REJECT   OK        agree
behavior_missing_max_new.json            REJECT   REJECT   OK        agree
behavior_prompt_empty.json               REJECT   REJECT   OK        agree
behavior_prompt_too_long.json            REJECT   REJECT   OK        agree
behavior_max_new_bad_00.json             REJECT   REJECT   OK        agree
behavior_max_new_bad_01.json             REJECT   REJECT   OK        agree
behavior_sequences_empty.json            REJECT   REJECT   OK        agree
behavior_sequence_elem_empty.json        REJECT   REJECT   OK        agree
behavior_sequence_too_long.json          REJECT   REJECT   OK        agree
behavior_sequence_oob.json               REJECT   REJECT   OK        agree
behavior_prompt_oob.json                 REJECT   REJECT   OK        agree
behavior_unknown_key_00.json             REJECT   REJECT   OK        DECLARED-DIV
behavior_unknown_key_01.json             REJECT   REJECT   OK        DECLARED-DIV
behavior_unknown_key_02.json             REJECT   REJECT   OK        DECLARED-DIV
benchmark_null.json                      REJECT   REJECT   OK        agree
benchmark_number.json                    REJECT   REJECT   OK        agree
benchmark_missing_prefill.json           REJECT   REJECT   OK        agree
benchmark_missing_decode_seed.json       REJECT   REJECT   OK        agree
benchmark_missing_expected_prefill.json  REJECT   REJECT   OK        agree
benchmark_prefill_count_00.json          REJECT   REJECT   OK        agree
benchmark_prefill_count_01.json          REJECT   REJECT   OK        agree
benchmark_prefill_count_02.json          REJECT   REJECT   OK        agree
benchmark_decode_seed_count_00.json      REJECT   REJECT   OK        agree
benchmark_decode_seed_count_01.json      REJECT   REJECT   OK        agree
benchmark_decode_steps_short.json        REJECT   REJECT   OK        agree
benchmark_prefill_oob.json               REJECT   REJECT   OK        agree
benchmark_decode_token_oob.json          REJECT   REJECT   OK        agree
benchmark_half_baseline_prefill.json     REJECT   REJECT   OK        agree
benchmark_half_baseline_decode.json      REJECT   REJECT   OK        agree
benchmark_baseline_bad_00.json           REJECT   REJECT   OK        agree
benchmark_baseline_bad_01.json           REJECT   REJECT   OK        agree
benchmark_baseline_bad_02.json           REJECT   REJECT   OK        agree
benchmark_prefill_string_elem.json       REJECT   REJECT   OK        agree
benchmark_unknown_key_00.json            REJECT   REJECT   OK        agree
benchmark_unknown_key_01.json            REJECT   REJECT   OK        agree
benchmark_unknown_key_02.json            REJECT   REJECT   OK        agree
layered_dup_base_anchor.json             REJECT   REJECT   OK        agree
layered_dup_base_free_run.json           REJECT   REJECT   OK        agree
layered_dup_anchors.json                 REJECT   REJECT   OK        agree
layered_dup_free_run.json                REJECT   REJECT   OK        agree
json_truncated.json                      REJECT   REJECT   OK        agree
json_trailing_garbage.json               REJECT   REJECT   OK        agree
json_empty.json                          REJECT   REJECT   OK        agree
json_whitespace_only.json                REJECT   REJECT   OK        agree
json_top_level_array.json                REJECT   REJECT   OK        agree
json_top_level_number.json               REJECT   REJECT   OK        agree
json_top_level_string.json               REJECT   REJECT   OK        agree
json_not_json.json                       REJECT   REJECT   OK        agree
json_duplicate_model_type.json           REJECT   REJECT   OK        agree

summary: fixtures=183 accept=4 reject=179 predicted-swift-divergences=15
         freeze-drift=0  benchctl-verdict-mismatch=0
RESULT: PASS — corpus frozen (all sha256+bytes pinned) and benchctl verdicts stable
